,X,Y,HC,r,theta
0,-0.009258348783282966,0.21568491970794657,IHC,0.21588353714819544,1.6136953326359065
1,0.02727355706865675,0.36274535786422957,IHC,0.36376921470518264,1.495751016034568
2,0.13793163716261758,0.3301889885696069,IHC,0.35784061354600316,1.1750948955619396
3,0.03571336214699139,0.29245320825174137,IHC,0.2946257341994731,1.4492814712162414
4,-0.10655737704918017,0.27358531809280995,IHC,0.2936041567817887,1.9422053111192727
5,0.06603773584905659,0.23584953777494455,IHC,0.24492036874201534,1.2977881534238143
6,-0.09999910882839169,0.24137974083044067,IHC,0.26127380475249184,1.963553210658494
7,0.017242182883490664,0.17346938775510257,IHC,0.17432418466385513,1.4717256178126372
8,-0.08000081096580325,0.26363636363636533,IHC,0.27550728118616397,1.865416483716536
9,-0.13934483309830614,0.2407407407407407,IHC,0.27816018184419444,2.095494451115337
10,-0.009258348783282966,0.21568491970794657,OHC1,0.21588353714819544,1.6136953326359065
11,0.02727355706865675,0.36274535786422957,OHC1,0.36376921470518264,1.495751016034568
12,0.13793163716261758,0.3301889885696069,OHC1,0.35784061354600316,1.1750948955619396
13,0.03571336214699139,0.29245320825174137,OHC1,0.2946257341994731,1.4492814712162414
14,-0.10655737704918017,0.27358531809280995,OHC1,0.2936041567817887,1.9422053111192727
15,0.06603773584905659,0.23584953777494455,OHC1,0.24492036874201534,1.2977881534238143
16,-0.09999910882839169,0.24137974083044067,OHC1,0.26127380475249184,1.963553210658494
17,0.017242182883490664,0.17346938775510257,OHC1,0.17432418466385513,1.4717256178126372
18,-0.08000081096580325,0.26363636363636533,OHC1,0.27550728118616397,1.865416483716536
19,-0.13934483309830614,0.2407407407407407,OHC1,0.27816018184419444,2.095494451115337
20,-0.009258348783282966,0.21568491970794657,OHC2,0.21588353714819544,1.6136953326359065
21,0.02727355706865675,0.36274535786422957,OHC2,0.36376921470518264,1.495751016034568
22,0.13793163716261758,0.3301889885696069,OHC2,0.35784061354600316,1.1750948955619396
23,0.03571336214699139,0.29245320825174137,OHC2,0.2946257341994731,1.4492814712162414
24,-0.10655737704918017,0.27358531809280995,OHC2,0.2936041567817887,1.9422053111192727
25,0.06603773584905659,0.23584953777494455,OHC2,0.24492036874201534,1.2977881534238143
26,-0.09999910882839169,0.24137974083044067,OHC2,0.26127380475249184,1.963553210658494
27,0.017242182883490664,0.17346938775510257,OHC2,0.17432418466385513,1.4717256178126372
28,-0.08000081096580325,0.26363636363636533,OHC2,0.27550728118616397,1.865416483716536
29,-0.13934483309830614,0.2407407407407407,OHC2,0.27816018184419444,2.095494451115337
30,-0.009258348783282966,0.21568491970794657,OHC3,0.21588353714819544,1.6136953326359065
31,0.02727355706865675,0.36274535786422957,OHC3,0.36376921470518264,1.495751016034568
32,0.13793163716261758,0.3301889885696069,OHC3,0.35784061354600316,1.1750948955619396
33,0.03571336214699139,0.29245320825174137,OHC3,0.2946257341994731,1.4492814712162414
34,-0.10655737704918017,0.27358531809280995,OHC3,0.2936041567817887,1.9422053111192727
35,0.06603773584905659,0.23584953777494455,OHC3,0.24492036874201534,1.2977881534238143
36,-0.09999910882839169,0.24137974083044067,OHC3,0.26127380475249184,1.963553210658494
37,0.017242182883490664,0.17346938775510257,OHC3,0.17432418466385513,1.4717256178126372
38,-0.08000081096580325,0.26363636363636533,OHC3,0.27550728118616397,1.865416483716536
39,-0.13934483309830614,0.2407407407407407,OHC3,0.27816018184419444,2.095494451115337
